ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
12/1/2021,585330.002252782,FILLED,JSE,JA$,SVL,LIMIT,169.009162003946,17.5002082547304,2974.40129231841,GTM,BUY,17.5911661601557
6/10/2020,542531.996101639,FILLED,JSE,JA$,WSYNCO,MARKET,1.00162048412754,15.7016414158969,17.834210538666,GTD,BUY,0.000238606125307032
12/11/2020,537244.014964414,EXPIRED,JSE,JA$,WSYNCO,LIMIT,332.014742807362,0.0199861079810122,4976.68758644892,GTD,BUY,14.9828372470278
18/11/2020,559023.003776821,FILLED,JSE,JA$,SEP,LIMIT,47.9911697835974,61.0013330034793,2927.99074825955,GTW,BUY,61.0096518130004
19/12/2020,578486.997133482,FILLED,JSE,JA$,KEY,LIMIT,451.996828945583,6.58910168774776,2983.22079071205,GTM,BUY,6.61037712096696
13/11/2020,567718.01320677,EXPIRED,JSE,JA$,SEP,LIMIT,34.0086028739534,0.017196282960291,1971.99565987577,GTD,BUY,57.9956148582961
15/12/2020,576215.006162989,EXPIRED,JSE,JA$,GK,LIMIT,32.9974724349893,0.0126306197376211,2012.68198867728,GTW,BUY,60.9878568128171
5/9/2020,529608.988584126,FILLED,JSE,JA$,SCIJMD,MARKET,327.003428745114,15.1880059416039,5843.50642202064,GTW,SELL,0.00958417621649435
22/12/2020,526247.984622024,FILLED,JNR,JA$,MAILPC,LIMIT,4794.00114147653,2.80015745831923,13423.194402488,GTD,SELL,2.80327335792297
5/9/2020,522608.013025393,FILLED,JSE,JA$,SLECTF,MARKET,4330.99963175215,0.641211813979707,3291.58085616237,GTW,SELL,-0.00113969992041547
19/12/2020,578226.987514622,FILLED,JSE,JA$,GK,LIMIT,31.9816009984449,61.0184331880537,1952.00822076347,GTW,BUY,61.0041501054229
