ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
12/11/2020,1,EXPIRED,JSE,JA$,WISYNCO,LIMIT,331.9966262,0.019258689,4976.664407,GTD,BUY,14.98643414
19/12/2020,2,FILLED,JSE,JA$,GK,LIMIT,32.01652809,61.00762378,1952.003933,GTW,BUY,60.98412726
5/9/2020,3,FILLED,JSE,JA$,SCIJMD,MARKET,327.0116258,15.17237273,5843.494234,GTW,SELL,-0.009691756
19/12/2020,4,FILLED,JSE,JA$,KEY,LIMIT,452.013269,6.578333582,2983.180572,GTM,BUY,6.583221122
13/11/2020,5,EXPIRED,JSE,JA$,SEP,LIMIT,33.9898518,0.001179102,1971.991533,GTD,BUY,58.01683507
5/9/2020,6,FILLED,JSE,JA$,SELECTF,MARKET,4331.008311,0.643932898,3291.550636,GTW,SELL,-0.001349691
18/11/2020,7,FILLED,JSE,JA$,SEP,LIMIT,47.99972423,61.00495584,2927.997631,GTW,BUY,61.0096343
15/12/2020,8,EXPIRED,JSE,JA$,GK,LIMIT,33.00811301,-0.007104101,2012.691334,GTW,BUY,60.98914713
6/10/2020,9,FILLED,JSE,JA$,WISYNCO,MARKET,1.009298967,15.71920484,17.84810313,GTD,BUY,0.004831299
12/1/2021,11,FILLED,JSE,JA$,SVL,LIMIT,168.9817283,17.48047755,2974.422707,GTM,BUY,17.57659368
