ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
12/11/2020,537243.99692792,EXPIRED,JSE,JA$,WSYNCO,LIMIT,332.017881840848,-0.00634734850937136,4976.67059065149,GTD,BUY,14.9828326879887
13/11/2020,567717.9994649,EXPIRED,JSE,JA$,SEP,LIMIT,33.9804658864039,0.0138145611178629,1972.01239992532,GTD,BUY,58.0072834866938
19/12/2020,578487.010533007,FILLED,JSE,JA$,KEY,LIMIT,451.996541028067,6.59950254448275,2983.20441043049,GTM,BUY,6.60858163751417
5/9/2020,522607.999604193,FILLED,JSE,JA$,SLECTF,MARKET,4331.0011602046,0.632396041378805,3291.57007573605,GTW,SELL,0.00857724526915567
19/12/2020,578226.998574977,FILLED,JSE,JA$,GK,LIMIT,32.0059971438199,60.9900324740708,1952.00039749727,GTW,BUY,60.9927750088285
18/11/2020,559022.988540286,FILLED,JSE,JA$,SEP,LIMIT,47.9937072714173,60.9909177425705,2927.98731734786,GTW,BUY,61.0106355619742
22/12/2020,526248.006061054,FILLED,JNR,JA$,MAILPC,LIMIT,4794.02561017811,2.80983088961609,13423.1912307157,GTD,SELL,2.81126729081552
15/12/2020,576215.010671961,EXPIRED,JSE,JA$,GK,LIMIT,32.9869739005567,-0.00471608584487589,2012.6610629772,GTW,BUY,60.9711728104474
6/10/2020,542532.005047826,FILLED,JSE,JA$,WSYNCO,MARKET,0.989276794197798,15.6959285762439,17.8301432735216,GTD,BUY,6.29692492986961E-05
12/1/2021,585329.991393764,FILLED,JSE,JA$,SVL,LIMIT,169.006974030406,17.5160458840765,2974.39825565998,GTM,BUY,17.6123016342503
5/9/2020,529608.995971219,FILLED,JSE,JA$,SCIJMD,MARKET,326.976295404535,15.1911186186039,5843.47256052729,GTW,SELL,0.000734763282163107
