ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
19/12/2020,578226.993,FILLED,JSE,JA$,GK,LIMIT,31.994504,61.01000236,1952.000309,GTW,BUY,61.00134585
18/11/2020,559022.9858,FILLED,JSE,JA$,SEP,LIMIT,47.98433057,60.98702581,2927.994653,GTW,BUY,60.99649629
12/11/2020,537243.9986,EXPIRED,JSE,JA$,WISYNCO,LIMIT,331.9861511,-0.004587796,4976.689864,GTD,BUY,15.00130578
6/10/2020,542531.9877,FILLED,JSE,JA$,WISYNCO,MARKET,1.014979756,15.68999388,17.84528725,GTD,BUY,-0.019620067
15/12/2020,576214.992,EXPIRED,JSE,JA$,GK,LIMIT,33.01362254,-0.005558939,2012.679081,GTW,BUY,60.98359224
12/1/2021,585329.9894,FILLED,JSE,JA$,SVL,LIMIT,168.9952428,17.48609667,2974.389749,GTM,BUY,17.61029292
19/12/2020,578487.0026,FILLED,JSE,JA$,KEY,LIMIT,451.9958344,6.598533848,2983.200583,GTM,BUY,6.597777275
5/9/2020,529608.9987,FILLED,JSE,JA$,SCIJMD,MARKET,326.9931134,15.1883046,5843.501279,GTW,SELL,0.003674599
13/11/2020,567717.9898,EXPIRED,JSE,JA$,SEP,LIMIT,33.97833578,-0.011442889,1972.006307,GTD,BUY,57.99722365
5/9/2020,522607.9998,FILLED,JSE,JA$,SELECTF,MARKET,4330.996349,0.66348997,3291.557926,GTW,SELL,0.013346561
