ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
22/12/2020,756037,FILLED,JNR,JA$,MAILPC,LIMIT,4793.994057,2.804652753,13423.20894,GTD,SELL,2.807618947
13/11/2020,564930,EXPIRED,JSE,JA$,SEP,LIMIT,34.0196349,-0.010268367,1972.007335,GTD,BUY,58.00416883
19/12/2020,759302,FILLED,JSE,JA$,GK,LIMIT,31.99473419,60.98455371,1951.995073,GTW,BUY,61.00909823
12/11/2020,759402,EXPIRED,JSE,JA$,WSYNCO,LIMIT,331.9939557,0.007533944,4976.683859,GTD,BUY,14.99696941
18/11/2020,425632,FILLED,JSE,JA$,SEP,LIMIT,48.01813396,61.00865399,2928.026053,GTW,BUY,61.00243341
15/12/2020,764923,EXPIRED,JSE,JA$,GK,LIMIT,33.00051542,0.009153816,2012.649906,GTW,BUY,60.97426538
12/1/2021,659604,FILLED,JSE,JA$,SVL,LIMIT,169.0018766,17.51366079,2974.411049,GTM,BUY,17.59109652
6/10/2020,536487,FILLED,JSE,JA$,WSYNCO,MARKET,0.995581786,15.70036217,17.85766521,GTD,BUY,-0.006014574
5/9/2020,338897,FILLED,JSE,JA$,SLECTF,MARKET,4330.976912,0.650305472,3291.543974,GTW,SELL,-0.009476105
5/9/2020,294872,FILLED,JSE,JA$,SCIJMD,MARKET,326.998615,15.17153858,5843.476062,GTW,SELL,-0.001615412
19/12/2020,674986,FILLED,JSE,JA$,KEY,LIMIT,451.9841045,6.588311211,2983.20501,GTM,BUY,6.60847548
