ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
5/9/2020,13,FILLED,JSE,JA$,SELECTF,MARKET,4330.996783,0.6325731,3291.570925,GTW,SELL,-0.005572247
6/10/2020,14,FILLED,JSE,JA$,WISYNCO,MARKET,1.015858683,15.70350302,17.84482987,GTD,BUY,-0.003841009
15/12/2020,15,EXPIRED,JSE,JA$,GK,LIMIT,33.00444921,-0.011881903,2012.687394,GTW,BUY,60.99789434
5/9/2020,16,FILLED,JSE,JA$,SCIJMD,MARKET,327.0201054,15.19660538,5843.488248,GTW,SELL,-0.007163606
19/12/2020,17,FILLED,JSE,JA$,KEY,LIMIT,451.9918586,6.569999192,2983.209016,GTM,BUY,6.595572989
12/11/2020,18,EXPIRED,JSE,JA$,WISYNCO,LIMIT,332.0059067,0.004136398,4976.672118,GTD,BUY,15.00472614
18/11/2020,19,FILLED,JSE,JA$,SEP,LIMIT,47.99035873,61.00008136,2927.999231,GTW,BUY,60.99607247
12/1/2021,20,FILLED,JSE,JA$,SVL,LIMIT,169.0202534,17.50681011,2974.400281,GTM,BUY,17.6146309
19/12/2020,21,FILLED,JSE,JA$,GK,LIMIT,31.99115679,60.99421063,1951.997626,GTW,BUY,60.98768597
13/11/2020,22,EXPIRED,JSE,JA$,SEP,LIMIT,34.00673921,-0.00175538,1972.001465,GTD,BUY,57.99158926
